local_start_time_date,local_end_time_date,local_start_time_hour,sleep_duration,deep_sleep_duration,total_rem_duration,sleep_cycle
2024-01-08,2024-01-08,11,159.0,14.0,,2.0
2024-01-09,2024-01-09,15,66.0,5.0,,0.0
2024-01-29,2024-01-29,16,108.0,0.0,,1.0
2024-02-01,2024-02-01,16,48.0,0.0,,1.0
2024-02-07,2024-02-07,13,96.0,20.0,,1.0
2024-02-22,2024-02-22,15,89.0,13.0,,1.0
2024-02-25,2024-02-25,15,45.0,0.0,,1.0
2024-03-05,2024-03-05,12,43.0,6.0,,0.0
2024-03-06,2024-03-06,15,73.0,7.0,,1.0
2024-03-09,2024-03-09,14,94.0,5.0,,1.0
2024-03-11,2024-03-11,13,114.0,17.0,,2.0
2024-03-22,2024-03-22,14,187.0,19.0,,2.0
2024-03-24,2024-03-24,14,79.0,1.0,,0.0
2024-03-27,2024-03-27,16,96.0,7.0,,1.0
2024-03-28,2024-03-28,11,85.0,5.0,,0.0
2024-04-04,2024-04-04,15,111.0,13.0,,1.0
2024-04-09,2024-04-09,11,85.0,8.0,,0.0
2024-04-10,2024-04-10,15,118.0,12.0,,2.0
2024-04-14,2024-04-14,14,129.0,15.0,,1.0
2024-04-16,2024-04-16,14,158.0,19.0,,2.0
2024-04-21,2024-04-21,16,106.0,3.0,,0.0
2024-04-24,2024-04-24,14,82.0,34.0,,0.0
2024-04-25,2024-04-25,15,86.0,16.0,,0.0
2024-04-30,2024-04-30,13,115.0,13.0,,1.0
2024-05-01,2024-05-01,15,94.0,23.0,,1.0
2024-05-04,2024-05-04,15,51.0,0.0,,1.0
2024-05-05,2024-05-05,14,70.0,10.0,,1.0
2024-05-05,2024-05-05,16,98.0,0.0,,1.0
2024-05-09,2024-05-09,16,112.0,15.0,,1.0
2024-05-12,2024-05-12,15,108.0,0.0,,1.0
2024-05-14,2024-05-14,13,78.0,1.0,,1.0
2024-05-18,2024-05-18,15,84.0,0.0,,1.0
2024-05-19,2024-05-19,15,91.0,0.0,,1.0
